date,Net farm value,Wholesale value,Retail value
1/1/2000,146.0,177.5,294.7
2/1/2000,146.5,174.5,293.6
3/1/2000,154.2,183.3,297.9
4/1/2000,158.9,191.0,305.4
5/1/2000,153.2,193.8,308.8
6/1/2000,149.2,190.7,311.5
7/1/2000,144.7,179.6,310.0
8/1/2000,138.5,172.6,309.9
9/1/2000,136.6,168.6,313.0
10/1/2000,143.6,174.4,311.8
11/1/2000,152.4,182.8,310.3
12/1/2000,163.5,197.6,310.1
1/1/2001,167.7,202.5,321.4
2/1/2001,171.0,201.5,334.2
3/1/2001,170.0,202.7,334.3
4/1/2001,164.8,201.7,343.2
5/1/2001,159.7,204.3,343.8
6/1/2001,157.7,198.3,347.6
7/1/2001,150.7,185.9,345.4
8/1/2001,148.7,188.1,339.3
9/1/2001,146.9,186.6,337.6
10/1/2001,142.3,180.4,338.0
11/1/2001,136.3,174.3,337.6
12/1/2001,137.8,177.3,330.3
1/1/2002,145.4,175.2,330.8
2/1/2002,155.1,188.2,330.5
3/1/2002,155.6,188.6,329.8
4/1/2002,145.6,182.8,333.5
5/1/2002,141.4,180.7,333.5
6/1/2002,138.6,178.7,330.0
7/1/2002,135.4,172.4,328.9
8/1/2002,134.9,174.0,334.5
9/1/2002,139.2,175.4,329.4
10/1/2002,139.5,175.2,325.8
11/1/2002,150.4,182.2,334.0
12/1/2002,156.6,191.1,337.8
1/1/2003,168.3,200.4,339.7
2/1/2003,172.9,200.8,348.0
3/1/2003,166.4,197.1,356.8
4/1/2003,171.0,207.2,364.8
5/1/2003,172.4,219.9,361.4
6/1/2003,166.8,219.4,365.6
7/1/2003,163.7,202.8,365.4
8/1/2003,173.4,217.6,373.5
9/1/2003,191.2,242.6,370.9
10/1/2003,216.0,271.5,393.3
11/1/2003,217.2,257.4,431.7
12/1/2003,196.1,237.0,424.3
1/1/2004,172.1,212.8,400.5
2/1/2004,169.4,198.5,398.9
3/1/2004,185.3,218.2,397.1
4/1/2004,187.6,244.1,405.7
5/1/2004,192.0,241.3,405.5
6/1/2004,194.0,229.6,417.3
7/1/2004,182.3,216.3,417.9
8/1/2004,182.1,213.9,411.3
9/1/2004,178.5,207.5,408.2
10/1/2004,184.9,212.7,402.1
11/1/2004,186.9,208.5,405.7
12/1/2004,190.2,222.9,408.1
1/1/2005,196.2,231.4,408.5
2/1/2005,193.7,222.4,412.8
3/1/2005,198.8,233.6,421.4
4/1/2005,201.3,243.4,425.5
5/1/2005,195.3,242.9,426.1
6/1/2005,182.3,217.5,418.4
7/1/2005,173.7,204.5,399.3
8/1/2005,174.9,207.1,399.2
9/1/2005,184.2,214.7,392.4
10/1/2005,191.9,224.3,397.6
11/1/2005,197.8,231.0,401.9
12/1/2005,211.8,244.2,406.0
1/1/2006,207.1,241.3,406.9
2/1/2006,196.3,232.4,405.9
3/1/2006,187.8,226.4,401.1
4/1/2006,178.9,220.8,402.0
5/1/2006,173.2,229.3,395.1
6/1/2006,180.9,237.8,392.1
7/1/2006,177.1,228.4,387.8
8/1/2006,184.3,227.2,397.6
9/1/2006,196.0,224.9,392.6
10/1/2006,192.6,225.0,394.7
11/1/2006,188.0,222.9,396.3
12/1/2006,185.3,221.6,392.1
1/1/2007,187.6,230.9,394.0
2/1/2007,193.0,231.5,405.0
3/1/2007,208.0,246.0,418.4
4/1/2007,210.4,251.9,428.5
5/1/2007,206.4,246.9,429.7
6/1/2007,189.5,224.4,421.5
7/1/2007,190.7,218.1,414.3
8/1/2007,196.1,222.9,415.9
9/1/2007,201.1,226.6,422.7
10/1/2007,196.3,222.0,413.0
11/1/2007,198.2,223.6,415.9
12/1/2007,196.9,228.1,411.3
1/1/2008,194.6,224.8,410.0
2/1/2008,192.2,228.8,418.6
3/1/2008,186.4,220.7,420.5
4/1/2008,187.2,225.9,417.2
5/1/2008,198.9,239.3,424.1
6/1/2008,201.1,243.1,429.6
7/1/2008,207.1,255.2,434.0
8/1/2008,208.0,248.3,452.6
9/1/2008,207.2,244.3,450.9
10/1/2008,194.1,228.5,451.1
11/1/2008,198.0,237.5,443.3
12/1/2008,188.5,224.1,437.5
1/1/2009,183.2,228.4,432.3
2/1/2009,179.1,211.0,436.8
3/1/2009,181.8,209.4,430.0
4/1/2009,192.0,223.1,427.3
5/1/2009,186.1,225.2,433.5
6/1/2009,177.5,215.9,427.7
7/1/2009,179.6,215.4,417.9
8/1/2009,176.3,218.5,421.6
9/1/2009,179.8,216.9,413.2
10/1/2009,182.2,212.1,414.5
11/1/2009,180.1,216.9,430.4
12/1/2009,174.0,213.4,428.1
1/1/2010,181.2,220.4,417.3
2/1/2010,191.1,221.0,418.6
3/1/2010,202.6,239.5,430.4
4/1/2010,211.3,257.1,443.6
5/1/2010,211.2,259.2,445.7
6/1/2010,208.1,240.5,447.2
7/1/2010,197.6,237.7,441.5
8/1/2010,204.9,240.9,435.3
9/1/2010,206.5,244.7,441.8
10/1/2010,207.4,239.5,447.8
11/1/2010,209.2,243.9,448.8
12/1/2010,216.6,248.5,443.0
1/1/2011,221.9,256.9,452.1
2/1/2011,226.9,259.1,458.3
3/1/2011,242.6,278.0,472.5
4/1/2011,251.4,286.0,479.4
5/1/2011,229.9,270.6,483.7
6/1/2011,222.7,267.4,478.0
7/1/2011,230.9,270.9,476.7
8/1/2011,237.6,275.6,486.8
9/1/2011,245.8,278.2,491.4
10/1/2011,259.2,282.4,493.3
11/1/2011,263.4,293.9,500.1
12/1/2011,257.6,290.8,501.6
1/1/2012,261.3,284.7,509.3
2/1/2012,266.2,290.1,504.5
3/1/2012,267.1,290.1,505.3
4/1/2012,254.5,279.3,498.6
5/1/2012,255.0,293.0,496.5
6/1/2012,253.6,300.4,493.2
7/1/2012,243.4,282.3,501.3
8/1/2012,253.3,284.5,494.5
9/1/2012,263.9,292.4,494.1
10/1/2012,267.0,296.3,500.4
11/1/2012,269.0,297.1,510.9
12/1/2012,267.0,296.9,507.8
1/1/2013,263.8,292.0,520.6
2/1/2013,262.8,280.4,517.9
3/1/2013,266.5,295.4,526.3
4/1/2013,267.5,291.4,522.4
5/1/2013,270.5,313.7,522.6
6/1/2013,264.7,304.8,527.4
7/1/2013,248.0,290.3,533.1
8/1/2013,252.6,294.2,535.1
9/1/2013,264.2,296.1,529.4
10/1/2013,274.4,309.8,535.5
11/1/2013,277.5,308.6,540.9
12/1/2013,278.2,305.0,536.0
1/1/2014,297.1,337.8,534.6
2/1/2014,310.4,327.7,557.5
3/1/2014,320.2,364.1,572.0
4/1/2014,311.6,348.2,587.1
5/1/2014,304.9,348.3,591.3
6/1/2014,319.0,360.3,591.7
7/1/2014,338.9,385.1,595.1
8/1/2014,336.5,388.2,624.0
9/1/2014,345.1,375.6,625.6
10/1/2014,353.0,377.3,624.1
11/1/2014,367.0,386.4,630.3
12/1/2014,350.3,377.5,631.0
1/1/2015,355.7,388.8,633.3
2/1/2015,345.8,368.9,627.0
3/1/2015,352.3,378.4,630.9
4/1/2015,352.8,393.6,640.2
5/1/2015,351.9,397.6,641.2
6/1/2015,331.1,382.4,640.6
7/1/2015,326.8,365.6,636.5
8/1/2015,327.9,369.8,632.8
9/1/2015,297.2,348.8,623.0
10/1/2015,292.2,325.9,623.1
11/1/2015,281.7,324.0,620.9
12/1/2015,273.0,309.5,597.2
1/1/2016,297.9,349.9,597.5
2/1/2016,297.6,333.7,598.6
3/1/2016,299.8,343.8,622.3
4/1/2016,285.4,334.4,610.5
5/1/2016,284.8,332.0,608.1
6/1/2016,268.9,336.3,620.0
7/1/2016,255.0,312.0,609.0
8/1/2016,252.9,305.4,591.5
9/1/2016,227.4,288.3,586.8
10/1/2016,218.5,280.2,573.7
11/1/2016,234.7,285.9,576.4
12/1/2016,245.0,299.5,562.2
1/1/2017,258.7,298.1,566.2
2/1/2017,261.2,293.5,584.0
3/1/2017,275.5,331.4,590.4
4/1/2017,284.3,327.5,593.3
5/1/2017,303.3,371.5,614.0
6/1/2017,290.1,373.6,620.7
7/1/2017,258.5,324.7,610.0
8/1/2017,241.1,304.6,597.0
9/1/2017,232.8,295.5,578.2
10/1/2017,247.0,304.9,575.5
11/1/2017,267.5,320.6,580.7
12/1/2017,261.7,311.7,580.3
1/1/2018,268.6,319.1,575.8
2/1/2018,281.0,327.5,582.8
3/1/2018,275.6,342.2,587.1
4/1/2018,266.2,335.2,606.0
5/1/2018,267.6,351.5,596.4
6/1/2018,243.0,338.7,597.8
7/1/2018,247.6,316.3,602.0
8/1/2018,245.2,320.7,608.2
9/1/2018,243.9,316.1,593.5
10/1/2018,250.0,319.3,584.0
11/1/2018,259.1,328.7,591.1
12/1/2018,265.4,327.3,583.3
1/1/2019,273.8,329.5,586.0
2/1/2019,277.1,333.7,590.0
3/1/2019,283.8,348.4,606.8
4/1/2019,279.1,352.8,610.2
5/1/2019,260.0,342.5,617.3
6/1/2019,243.8,339.0,614.7
7/1/2019,249.2,329.1,614.7
8/1/2019,235.9,352.3,607.4
9/1/2019,223.2,338.9,600.6
10/1/2019,240.4,336.5,589.2
11/1/2019,254.9,362.3,606.5
12/1/2019,267.0,332.8,609.0
1/1/2020,273.7,324.5,605.9
2/1/2020,262.0,317.8,604.5
3/1/2020,251.0,348.9,604.6
4/1/2020,234.4,402.0,644.4
5/1/2020,249.1,638.6,758.5
6/1/2020,234.9,370.0,755.8
7/1/2020,213.9,311.3,683.8
8/1/2020,241.6,331.7,649.2
9/1/2020,233.0,336.7,637.1
10/1/2020,238.4,322.9,635.4
11/1/2020,245.6,348.8,634.1
12/1/2020,244.1,332.9,629.3
1/1/2021,248.4,330.6,640.7
2/1/2021,251.9,359.3,641.4
3/1/2021,251.3,355.8,648.2
4/1/2021,265.8,421.5,675.5
5/1/2021,263.3,480.8,696.2
6/1/2021,267.1,487.4,746.5
7/1/2021,259.1,414.0,752.9
8/1/2021,266.3,486.5,763.9
9/1/2021,270.8,483.6,787.1
10/1/2021,268.5,428.3,790.1
11/1/2021,288.0,428.5,785.4
12/1/2021,300.0,402.0,766.3
1/1/2022,298.3,427.0,762.6
2/1/2022,306.5,411.6,761.7
3/1/2022,298.7,390.3,768.5
4/1/2022,301.8,405.5,773.5
5/1/2022,314.5,391.7,767.5
6/1/2022,296.4,403.2,766.0
7/1/2022,294.5,404.5,761.9
8/1/2022,302.4,397.5,757.6
9/1/2022,302.9,380.5,760.1
10/1/2022,312.5,378.7,742.2
11/1/2022,325.2,389.2,736.5
12/1/2022,334.8,394.8,745.0
