Item,Unnamed: 0,Item,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,Flour white all purpose per lb. (453.6 gm),2018,0.471,0.470,0.468,0.472,0.469,0.469,0.468,0.464,0.467,0.453,0.433,0.437
1,1,Flour white all purpose per lb. (453.6 gm),2019,0.439,0.443,0.445,0.434,0.454,0.448,0.454,0.450,0.449,0.432,0.417,0.429
2,2,Flour white all purpose per lb. (453.6 gm),2020,0.438,0.438,0.442, ,0.461,0.468,0.461,0.459,0.451,0.452,0.445,0.450
3,3,Flour white all purpose per lb. (453.6 gm),2021,0.446,0.440,0.436,0.437,0.439,0.356,0.368,0.371,0.382,0.396,0.386,0.388
4,4,Flour white all purpose per lb. (453.6 gm),2022,0.424,0.428,0.448,0.455,0.456,0.498,0.533,0.549,0.556,0.534,0.524,0.522
5,5,Rice white long grain uncooked per lb. (453.6 gm),2018,0.682,0.691,0.682,0.685,0.698,0.689,0.690,0.705,0.693,0.685,0.711,0.712
6,6,Rice white long grain uncooked per lb. (453.6 gm),2019,0.730,0.762,0.757,0.767,0.761,0.801,0.798,0.793,0.797,0.773,0.721,0.714
7,7,Rice white long grain uncooked per lb. (453.6 gm),2020,0.716,0.734,0.733, ,0.748,0.749,0.772,0.769,0.777,0.766,0.791,0.789
8,8,Rice white long grain uncooked per lb. (453.6 gm),2021,0.794,0.779,0.772,0.785,0.801,0.778,0.782,0.784,0.798,0.788,0.844,0.820
9,9,Rice white long grain uncooked per lb. (453.6 gm),2022,0.832,0.830,0.871,0.900,0.909,0.924,0.929,0.925,0.939,0.963,0.963,0.971
10,10,Spaghetti and macaroni per lb. (453.6 gm),2018,1.218,1.176,1.187,1.176,1.143,1.201,1.204,1.227,1.200,1.138,1.196,1.161
11,11,Spaghetti and macaroni per lb. (453.6 gm),2019,1.217,1.206,1.237,1.223,1.197,1.192,1.198,1.215,1.184,1.178,1.231,1.189
12,12,Spaghetti and macaroni per lb. (453.6 gm),2020,1.225,1.235,1.238,1.265,1.260,1.280,1.295,1.303,1.256,1.220,1.262,1.313
13,13,Spaghetti and macaroni per lb. (453.6 gm),2021,1.314,1.324,1.341,1.251,1.336,1.073,1.094,1.089,1.077,1.067,1.093,1.092
14,14,Spaghetti and macaroni per lb. (453.6 gm),2022,1.116,1.148,1.182,1.217,1.291,1.316,1.349,1.368,1.357,1.349,1.428,1.434
15,15,Bread white pan per lb. (453.6 gm),2018,1.281,1.265,1.309,1.281,1.293,1.279,1.293,1.302,1.288,1.277,1.274,1.290
16,16,Bread white pan per lb. (453.6 gm),2019,1.274,1.282,1.261,1.285,1.289,1.280,1.281,1.275,1.296,1.325,1.361,1.363
17,17,Bread white pan per lb. (453.6 gm),2020,1.351,1.375,1.374,1.406,1.412,1.474,1.485,1.495,1.492,1.503,1.515,1.538
18,18,Bread white pan per lb. (453.6 gm),2021,1.546,1.537,1.526,1.510,1.511,1.510,1.491,1.467,1.580,1.526,1.547,1.532
19,19,Bread white pan per lb. (453.6 gm),2022,1.555,1.578,1.607,1.612,1.606,1.691,1.715,1.756,1.749,1.814,1.847,1.873
20,20,Bread whole wheat pan per lb. (453.6 gm),2018,2.033,2.011,2.039,2.016,1.966,1.896,1.899,1.936,1.951,1.910,1.945,1.924
21,21,Bread whole wheat pan per lb. (453.6 gm),2019,1.940,1.951,1.962,1.952,1.941,1.905,1.951,1.940,1.935,1.948,1.943,1.964
22,22,Bread whole wheat pan per lb. (453.6 gm),2020,1.961,1.986,1.994,2.070,2.075,2.118,2.144,2.084,2.081,2.170,2.207,2.203
23,23,Bread whole wheat pan per lb. (453.6 gm),2021,2.175,2.203,2.196,2.209,2.151,2.026,2.100,2.076,2.102,2.175,2.094,2.099
24,24,Bread whole wheat pan per lb. (453.6 gm),2022,2.119,2.029,2.121,2.145,2.220,2.230,2.316,2.298,2.362,2.386,2.419,2.419
25,25,Cookies chocolate chip per lb. (453.6 gm),2018,3.681,3.725,3.579,3.328,3.400,3.490,3.481,3.351,3.451,3.456,3.527,3.527
26,26,Cookies chocolate chip per lb. (453.6 gm),2019,3.466,3.516,3.311,3.426,3.352,3.504,3.468,3.496,3.587,3.602,3.603,3.584
27,27,Cookies chocolate chip per lb. (453.6 gm),2020,3.525,3.551,3.633,3.826,3.617,3.717,3.696,3.769,3.659,3.848,3.767,3.793
28,28,Cookies chocolate chip per lb. (453.6 gm),2021,3.669,3.800,3.964,3.939,4.019,4.068,4.065,4.065,3.981,3.815,3.999,4.089
29,29,Cookies chocolate chip per lb. (453.6 gm),2022,4.223,4.150,4.147,4.174,4.505,4.567,4.654,4.676,4.796,4.869,4.942,4.974
30,30,Ground chuck 100% beef per lb. (453.6 gm),2018,3.668,3.659,3.728,3.775,3.688,3.824,3.786,3.738,3.701,3.692,3.745,3.709
31,31,Ground chuck 100% beef per lb. (453.6 gm),2019,3.727,3.847,3.831,3.907,4.023,3.951,4.001,4.019,3.885,4.027,3.993,4.066
32,32,Ground chuck 100% beef per lb. (453.6 gm),2020,4.100,4.033,4.108,4.343,4.789,5.330,4.732,4.307,4.165,4.212,4.330,4.202
33,33,Ground chuck 100% beef per lb. (453.6 gm),2021,4.310,4.252,4.377,4.290,4.495,4.565,4.521,4.636,4.786,4.869,4.810,4.792
34,34,Ground chuck 100% beef per lb. (453.6 gm),2022,4.765,4.627,4.870,4.945,4.894,4.997,5.075,5.120,4.890,4.789,4.728,4.758
35,35,Ground beef 100% beef per lb. (453.6 gm),2018,3.641,3.642,3.657,3.730,3.685,3.729,3.745,3.792,3.743,3.714,3.781,3.725
36,36,Ground beef 100% beef per lb. (453.6 gm),2019,3.801,3.758,3.725,3.775,3.822,3.812,3.800,3.819,3.851,3.841,3.812,3.862
37,37,Ground beef 100% beef per lb. (453.6 gm),2020,3.886,3.865,3.881,4.052,4.461,4.737,4.264,4.177,4.076,4.008,4.027,3.951
38,38,Ground beef 100% beef per lb. (453.6 gm),2021,3.965,3.987,4.042,4.096,4.101,4.357,4.388,4.468,4.504,4.719,4.716,4.604
39,39,Ground beef 100% beef per lb. (453.6 gm),2022,4.554,4.630,4.757,4.916,4.794,4.889,4.893,4.937,4.862,4.836,4.853,4.800
40,40,Ground beef lean and extra lean per lb. (453.6 gm),2018,5.247,5.333,5.367,5.523,5.426,5.360,5.360,5.381,5.404,5.252,5.245,5.262
41,41,Ground beef lean and extra lean per lb. (453.6 gm),2019,5.253,5.208,5.186,5.288,5.486,5.428,5.462,5.444,5.351,5.463,5.475,5.518
42,42,Ground beef lean and extra lean per lb. (453.6 gm),2020,5.630,5.521,5.635,5.708,6.101,6.314,6.052,5.760,5.730,5.758,5.672,5.715
43,43,Ground beef lean and extra lean per lb. (453.6 gm),2021,5.705,5.611,5.780,5.973,5.952,6.016,6.081,6.179,6.146,6.371,6.270,6.315
44,44,Ground beef lean and extra lean per lb. (453.6 gm),2022,6.519,6.465,6.476,6.479,6.546,6.492,6.580,6.512,6.624,6.680,6.227,6.386
45,45,Chuck roast USDA Choice boneless per lb. (453.6 gm),2018,4.792,4.996,5.026,5.168,5.234,5.301,5.458,5.399,5.332,5.173,5.222,5.122
46,46,Chuck roast USDA Choice boneless per lb. (453.6 gm),2019,5.139,5.145,5.467,5.246,5.476,5.517,5.479,5.279,5.294,5.131,5.404,5.646
47,47,Chuck roast USDA Choice boneless per lb. (453.6 gm),2020,5.398,5.368,5.382,5.786,7.049,7.165,6.476,5.972,5.849,5.749,5.960,6.008
48,48,Chuck roast USDA Choice boneless per lb. (453.6 gm),2021,5.811,5.991,6.088,5.949,6.381,6.635,6.700,6.800,7.457,7.397,7.272,6.922
49,49,Chuck roast USDA Choice boneless per lb. (453.6 gm),2022,6.830,6.830,6.989,7.012,7.031,6.705,6.911,6.975,6.980,6.730,6.782,6.857
50,50,Round roast USDA Choice boneless per lb. (453.6 gm),2018,4.925,4.990,5.107,5.192,5.179,5.205,5.163,5.152,4.995,4.875,4.806,4.791
51,51,Round roast USDA Choice boneless per lb. (453.6 gm),2019,5.011,4.968,5.160,5.260,5.374,5.401,5.458,5.305,5.222,4.988,5.211,5.069
52,52,Round roast USDA Choice boneless per lb. (453.6 gm),2020,5.062,5.260,5.175,5.528,6.906,6.546,5.884,5.668,5.760,5.614,5.522,5.302
53,53,Round roast USDA Choice boneless per lb. (453.6 gm),2021,5.475,5.582,5.625,5.771,5.822,6.209,6.100,6.004,6.276,6.330,6.426,6.234
54,54,Round roast USDA Choice boneless per lb. (453.6 gm),2022,6.158,6.318,6.295,6.249,6.305,6.270,6.121,6.162,6.249,6.084,6.049,6.217
55,55,Beef for stew boneless per lb. (453.6 gm),2018, , , , , , , , , , ,5.518,5.399
56,56,Beef for stew boneless per lb. (453.6 gm),2019,5.527,5.593,5.601,5.790, ,5.647,5.575,5.614,5.632,5.566,5.792,5.751
57,57,Beef for stew boneless per lb. (453.6 gm),2020,5.754,5.830,5.730,5.697,6.308,6.752,6.336,5.995,5.872,5.696,5.729,5.870
58,58,Beef for stew boneless per lb. (453.6 gm),2021,5.949,5.782,5.762,6.034,6.225,6.802,6.731,6.666,6.874,6.920,7.159,7.363
59,59,Beef for stew boneless per lb. (453.6 gm),2022,6.806,6.977,7.160,7.130,7.023,6.900,7.015,7.080,6.982,6.857,6.580,6.873
60,60,Steak round USDA Choice boneless per lb. (453.6 gm),2018,5.608,5.619,5.512,5.785,5.649,5.800,5.694,5.807,5.839,5.791,5.681,5.687
61,61,Steak round USDA Choice boneless per lb. (453.6 gm),2019,5.601,5.722,5.839,5.856,5.892,5.882,5.977,5.834,5.858,5.774,5.793,5.977
62,62,Steak round USDA Choice boneless per lb. (453.6 gm),2020,5.963,6.091,6.091,6.410,7.301,7.394,6.950,6.579,6.447,6.383,6.449,6.339
63,63,Steak round USDA Choice boneless per lb. (453.6 gm),2021,6.522,6.443,6.412,6.640,6.737,7.297,7.183,7.112,7.282,7.304,7.404,7.342
64,64,Steak round USDA Choice boneless per lb. (453.6 gm),2022,7.378,7.489,7.324,7.266,7.438,7.318,7.131,7.201,7.184,7.173,7.159,7.061
65,65,Steak round graded and ungraded excluding USDA Prime and Choice per lb. (453.6 gm),2018,6.048,5.934,6.062,6.125,6.129,5.819,5.867,5.956,5.865,5.808, ,5.628
66,66,Steak round graded and ungraded excluding USDA Prime and Choice per lb. (453.6 gm),2019, , , ,6.036, , , , , , , , 
67,67,Steak sirloin graded and ungraded excluding USDA Prime and Choice per lb. (453.6 gm),2018,8.394,8.489,8.647, , , , , , , , , 
68,68,Steak sirloin USDA Choice boneless per lb. (453.6 gm),2018,8.205,8.297,8.339,8.551,8.247,8.509,8.552,8.561,8.544,8.331,8.375,8.311
69,69,Steak sirloin USDA Choice boneless per lb. (453.6 gm),2019,8.348,8.529,8.575,8.706,8.662,8.133,8.284,8.134,8.083,8.225,8.318,8.481
70,70,Steak sirloin USDA Choice boneless per lb. (453.6 gm),2020,8.441,8.333,8.265,8.600,9.480,10.423,9.413,8.875,8.795,8.931,8.876,8.980
71,71,Steak sirloin USDA Choice boneless per lb. (453.6 gm),2021,9.148,9.079,9.134,9.344,9.892,10.780,10.538,10.599,11.010,11.654,11.508,11.055
72,72,Steak sirloin USDA Choice boneless per lb. (453.6 gm),2022,10.826,10.584,10.658,10.656,10.447,10.721,10.570,10.312,10.543,10.496,10.268,10.169
73,73,Bacon sliced per lb. (453.6 gm),2018,5.654,5.533,5.527,5.421,5.452,5.247,5.418,5.577,5.501,5.370,5.392,5.502
74,74,Bacon sliced per lb. (453.6 gm),2019,5.518,5.502,5.608,5.552,5.812,5.878,5.701,5.576,5.571,5.653,5.505,5.474
75,75,Bacon sliced per lb. (453.6 gm),2020,5.505,5.497,5.257,5.346,5.348,5.772,5.776,5.559,5.619,5.722,5.754,5.831
76,76,Bacon sliced per lb. (453.6 gm),2021,5.831,5.778,5.852,6.215,6.346,6.670,6.857,7.096,7.220,7.317,7.265,7.211
77,77,Bacon sliced per lb. (453.6 gm),2022,7.222,7.097,7.203,7.422,7.364,7.403,7.415,7.372,7.383,7.608,7.243,6.956
78,78,Chops center cut bone-in per lb. (453.6 gm),2018,3.814,3.718,3.702,4.004,3.829,3.811,3.558,3.843,3.799,3.889,3.736,3.947
79,79,Chops center cut bone-in per lb. (453.6 gm),2019,3.576,3.852,3.648,3.779,4.019,3.941,4.041,3.982,3.841,3.773,3.850,3.772
80,80,Chops center cut bone-in per lb. (453.6 gm),2020,3.781,3.920,3.907,4.148,4.371,4.544,4.351,4.060,4.066,3.947,4.054,4.248
81,81,Chops center cut bone-in per lb. (453.6 gm),2021,3.943,3.963,4.067,4.161,4.162,4.351,4.322,4.326,4.233,4.394,4.356,4.357
82,82,Chops center cut bone-in per lb. (453.6 gm),2022,4.392,4.367,4.679,4.587,4.463,4.468,4.620,4.559,4.595,4.578,4.572,4.674
83,83,Chops boneless per lb. (453.6 gm),2018,3.694,3.718,3.696,3.730,3.686,3.665,3.790,3.830,3.699,3.786,3.734,3.740
84,84,Chops boneless per lb. (453.6 gm),2019,3.666,3.716,3.762,3.804,3.833,3.690,3.830,3.784,3.761,3.715,3.786,3.805
85,85,Chops boneless per lb. (453.6 gm),2020,3.854,3.813,3.791,4.014,4.409,4.689,4.355,4.343,4.369,4.138,4.289,4.134
86,86,Chops boneless per lb. (453.6 gm),2021,4.204,4.137,4.253,4.328,4.362,4.541,4.455,4.469,4.393,4.495,4.430,4.409
87,87,Chops boneless per lb. (453.6 gm),2022,4.374,4.449,4.446,4.575,4.512,4.418,4.459,4.597,4.487,4.492,4.488,4.555
88,88,Ham boneless excluding canned per lb. (453.6 gm),2018,3.742,3.882,3.955,3.986,4.122,4.234,4.210,4.184,4.165,4.018,3.863,3.884
89,89,Ham boneless excluding canned per lb. (453.6 gm),2019,3.974,4.002,4.306,4.255,4.147,4.235,4.239,4.454,4.439,4.464,4.253,4.070
90,90,Ham boneless excluding canned per lb. (453.6 gm),2020,4.194,4.226,4.464, ,4.549,4.608,4.574,4.631,4.538,4.559,4.550,4.469
91,91,Ham boneless excluding canned per lb. (453.6 gm),2021,4.616,4.921,4.790,4.856,4.907,4.922,4.667,4.683,4.847,4.964,4.937,4.827
92,92,Ham boneless excluding canned per lb. (453.6 gm),2022,4.998,5.119,5.151,4.985,5.172,5.381,5.285,5.346,5.504,5.650,5.521,5.368
93,93,Frankfurters all meat or all beef per lb. (453.6 gm),2018,2.837,2.887,2.950,3.024,2.746,2.772,2.899,2.832,2.826,3.049,3.043,3.116
94,94,Frankfurters all meat or all beef per lb. (453.6 gm),2019,3.049,3.175,3.219,3.163,3.031,2.866,2.910,2.971,2.910,3.090,3.408,3.401
95,95,Frankfurters all meat or all beef per lb. (453.6 gm),2020,3.405,3.352,3.347,3.520,3.473,3.663,3.632,3.603,3.416,3.558,3.692,3.787
96,96,Frankfurters all meat or all beef per lb. (453.6 gm),2021,3.669,3.766,3.830,3.808,3.652,3.735,3.929,3.697,4.105,4.257,4.854,4.789
97,97,Frankfurters all meat or all beef per lb. (453.6 gm),2022,4.991,4.962,5.181,5.221, , , , , , , , 
98,98,Bologna all beef or mixed per lb. (453.6 gm),2018,2.528,2.593,2.719,2.605,2.754,2.690,2.654,2.718,2.677,2.841,2.642,2.632
99,99,Bologna all beef or mixed per lb. (453.6 gm),2019,2.624,2.599,2.604,2.625,2.687,2.837,2.719,2.777,2.791, , , 
100,100,Chicken fresh whole per lb. (453.6 gm),2018,1.509,1.478,1.502,1.511,1.523,1.514,1.519,1.511,1.487,1.444,1.501,1.466
101,101,Chicken fresh whole per lb. (453.6 gm),2019,1.473,1.486,1.468,1.463,1.479,1.590,1.562,1.514,1.487,1.538,1.430,1.450
102,102,Chicken fresh whole per lb. (453.6 gm),2020,1.409,1.362,1.400,1.571, ,1.747,1.712,1.609,1.542,1.580,1.639,1.621
103,103,Chicken fresh whole per lb. (453.6 gm),2021,1.595,1.583,1.543,1.515,1.486,1.474,1.435,1.472,1.504,1.523,1.583,1.606
104,104,Chicken fresh whole per lb. (453.6 gm),2022,1.622,1.632,1.724,1.794,1.824,1.826,1.880,1.879,1.891,1.863,1.843,1.830
105,105,Chicken legs bone-in per lb. (453.6 gm),2018,1.327,1.402,1.394,1.450,1.447,1.427,1.431,1.439,1.426,1.460,1.385,1.404
106,106,Chicken legs bone-in per lb. (453.6 gm),2019,1.381,1.417,1.392,1.435,1.442,1.415,1.412,1.414,1.425,1.429,1.488,1.505
107,107,Chicken legs bone-in per lb. (453.6 gm),2020,1.451,1.479,1.538,1.598,1.581,1.602,1.579,1.568,1.557,1.551,1.550,1.543
108,108,Chicken legs bone-in per lb. (453.6 gm),2021,1.600,1.553,1.569,1.579,1.593,1.611,1.615,1.706,1.723,1.709,1.733,1.729
109,109,Chicken legs bone-in per lb. (453.6 gm),2022,1.731,1.797,1.834,1.886,1.861,1.882,1.835,1.993,1.975,2.013,2.024,1.945
110,110,Turkey frozen whole per lb. (453.6 gm),2018,1.399,1.435,1.512,1.483,1.526,1.529,1.585,1.567,1.578,1.582,1.400,1.413
111,111,Turkey frozen whole per lb. (453.6 gm),2019,1.455,1.488,1.521,1.543,1.560,1.574,1.531,1.562,1.604,1.601,1.412,1.389
112,112,Turkey frozen whole per lb. (453.6 gm),2020,1.580,1.639, , , , , , , , , , 
113,113,Eggs grade A large per doz.,2018,1.769,1.755,1.831,2.081,1.987,1.628,1.725,1.622,1.651,1.660,1.596,1.595
114,114,Eggs grade A large per doz.,2019,1.554,1.557,1.544,1.463,1.362,1.203,1.243,1.219,1.383,1.282,1.405,1.535
